positional_row_id,source_row_uid,raw_id,ground_truth_label,a1_prediction,ae_flag,ae_reconstruction_error,tau_threshold,a6_final_decision
40612,UNSW_NB15_testing-set.csv#id=040662,40662,0,0,1,12.847842498950792,11.160062745213509,1
40620,UNSW_NB15_testing-set.csv#id=040670,40670,0,0,1,30.614793026692606,11.160062745213509,1
41062,UNSW_NB15_testing-set.csv#id=041112,41112,0,0,1,12.698172662150718,11.160062745213509,1
41459,UNSW_NB15_testing-set.csv#id=041509,41509,0,0,1,12.882000807520512,11.160062745213509,1
41540,UNSW_NB15_testing-set.csv#id=041590,41590,0,0,1,14.969106681134614,11.160062745213509,1
69582,UNSW_NB15_testing-set.csv#id=070166,70166,0,0,1,11.981803920089025,11.160062745213509,1
69620,UNSW_NB15_testing-set.csv#id=070204,70204,0,0,1,26.692102079259367,11.160062745213509,1
69625,UNSW_NB15_testing-set.csv#id=070209,70209,0,0,1,19.70306983258868,11.160062745213509,1
69638,UNSW_NB15_testing-set.csv#id=070222,70222,0,0,1,25.611631250527754,11.160062745213509,1
69657,UNSW_NB15_testing-set.csv#id=070241,70241,0,0,1,11.83882546050358,11.160062745213509,1
69662,UNSW_NB15_testing-set.csv#id=070246,70246,0,0,1,12.213159315854458,11.160062745213509,1
69670,UNSW_NB15_testing-set.csv#id=070254,70254,0,0,1,18.5030337816738,11.160062745213509,1
81287,UNSW_NB15_testing-set.csv#id=081871,81871,0,0,1,15.101371452074085,11.160062745213509,1
